id,Area,Season
Bear10,27.25454751,I
Bear12,252.7183468,I
Bear14,46.82092438,I
Bear15,177.1422098,I
Bear18,7.760138476,I
Bear2,29.88068662,I
Bear4,2.98055872,I
Bear5,56.9489192,I
Bear6,344.9241181,I
Bear8,77.30412692,I
Bear10,115.1148063,II
Bear12,211.7521009,II
Bear14,34.23564769,II
Bear15,14.35742909,II
Bear18,1561.415155,II
Bear2,22.97736583,II
Bear4,6.54284003,II
Bear5,49.78617662,II
Bear6,54.94983892,II
Bear8,94.59414105,II
Bear10,188.4274229,III
Bear12,1195.775218,III
Bear14,210.7761027,III
Bear15,201.8412457,III
Bear18,3.032568158,III
Bear2,24.04189373,III
Bear4,425.6564824,III
Bear5,16.7058381,III
Bear6,109.8817461,III
Bear8,57.86572026,III
Bear10,113.3888931,IV
Bear12,2036.10997,IV
Bear14,1222.286345,IV
Bear15,79.06148431,IV
Bear18,1047.058089,IV
Bear2,54.49902844,IV
Bear4,69.52205941,IV
Bear5,23.88550215,IV
Bear6,854.0190528,IV
Bear8,85.7149848,IV
