bear_id,season,season_name,count,total_distance,avg_distance,min_distance,max_distance,avg_altitude
Bear2,II,Den exit and reproduction,22,24849.541711056998,1129.5246232298634,8.048338457,2802.882801,1313.3636363636363
Bear2,IV,Hyperphagia,73,70324.96712842,963.3557140879452,48.39090873,4455.092788,898.8767123287671
Bear2,III,Forest fruits,70,79292.88040018998,1132.7554342884284,32.55919046,2548.481442,1218.2285714285715
Bear2,I,Winter sleep,16,15563.07420146,972.69213759125,31.40279758,6717.677192,1190.75
Bear4,II,Den exit and reproduction,69,66740.87065614002,967.258995016522,21.76535882,3170.760613,882.4782608695652
Bear4,IV,Hyperphagia,70,135708.04686373996,1938.6863837677138,23.60816226,9741.176256,862.2
Bear4,III,Forest fruits,72,94894.34549918,1317.9770208219443,36.963958,9814.360478,979.8333333333334
Bear4,I,Winter sleep,86,40233.483116447,467.8311990284535,1.792297576,2703.777177,1074.1744186046512
Bear5,II,Den exit and reproduction,16,27087.2271404,1692.951696275,125.0222616,6561.908597,966.6875
Bear5,IV,Hyperphagia,42,83737.85032483,1993.7583410673808,18.60446605,16849.68333,660.2619047619048
Bear5,III,Forest fruits,3,1984.8433694,661.6144564666666,543.973762,836.2401701,623.0
Bear5,I,Winter sleep,13,5333.085788072,410.2373683132307,3.16026903,2250.744952,764.3846153846154
Bear6,II,Den exit and reproduction,61,127446.833823626,2089.2923577643605,6.493120946,11544.83069,833.0819672131148
Bear6,IV,Hyperphagia,66,137509.99407271002,2083.4847586774245,8.65034043,9259.788405,865.8181818181819
Bear6,III,Forest fruits,60,142986.69990851803,2383.111665141967,2.794643848,6801.961145,865.4166666666666
Bear6,I,Winter sleep,80,71021.322226857,887.7665278357124,0.634632652,11333.78361,832.0375
Bear8,II,Den exit and reproduction,122,179443.961099223,1470.8521401575656,6.167522893,10111.44573,860.4180327868852
Bear8,IV,Hyperphagia,143,242131.62552042503,1693.2281504924827,2.690601155,10992.73912,912.7132867132867
Bear8,III,Forest fruits,94,118032.70311739999,1255.6670544404253,0.7439955,4260.321,770.9787234042553
Bear8,I,Winter sleep,84,156785.709957,1866.496547107143,3.200387,6561.125,918.047619047619
Bear10,II,Den exit and reproduction,52,94698.42563959002,1821.1235699921158,13.344588,9094.832392,902.3461538461538
Bear10,IV,Hyperphagia,47,85269.79391721,1814.2509344087234,15.23559756,6135.976961,804.5531914893617
Bear10,III,Forest fruits,25,117783.631142458,4711.3452456983205,4.297363458,10179.59502,913.48
Bear10,I,Winter sleep,48,86668.601162885,1805.5958575601042,1.375087788,6653.331456,962.5833333333334
Bear12,II,Den exit and reproduction,73,202752.257976173,2777.4281914544245,1.46092878,10633.26946,1039.5890410958905
Bear12,IV,Hyperphagia,16,129562.848129,8097.6780080625,3423.609392,17472.74808,727.4375
Bear12,III,Forest fruits,110,318584.20868061006,2896.220078914637,13.48546055,9627.365758,1075.0545454545454
Bear12,I,Winter sleep,29,91251.78395262,3146.613239745517,36.50484896,10290.69733,1041.8275862068965
Bear13,IV,Hyperphagia,27,59179.15775559,2191.8206576144444,31.00789911,11733.83882,558.7037037037037
Bear13,III,Forest fruits,12,11715.40907843,976.2840898691667,71.46047733,2704.843201,648.0833333333334
Bear14,IV,Hyperphagia,43,143176.35815773,3329.682747854186,40.38676404,19669.91309,444.48837209302326
Bear14,III,Forest fruits,6,9363.93027088,1560.6550451466667,68.44950948,4784.652198,961.1666666666666
Bear14,I,Winter sleep,21,45263.323941086004,2155.3963781469524,3.211895511,9724.753832,547.5714285714286
Bear15,IV,Hyperphagia,51,109622.77864543,2149.466247949608,26.29139673,10545.56818,561.2156862745098
Bear15,III,Forest fruits,34,36293.03530665,1067.4422149014706,37.11193026,5223.48105,743.3823529411765
Bear15,I,Winter sleep,4,2159.1775413799996,539.7943853449999,8.31559218,1299.027313,716.25
Bear16,II,Den exit and reproduction,16,16668.930690200003,1041.8081681375002,108.8514601,3219.805349,1011.6875
Bear16,IV,Hyperphagia,53,126246.21562965999,2382.0040684841506,9.70732713,20833.69588,410.9811320754717
Bear16,III,Forest fruits,21,41153.4069221,1959.686043909524,122.2585161,14471.95134,1038.952380952381
Bear17,IV,Hyperphagia,39,42446.628191284,1088.375081827795,2.355453675,9052.881505,832.1282051282051
Bear17,I,Winter sleep,7,100.21606262,14.316580374285715,11.08405718,19.95114414,1394.0
Bear18,II,Den exit and reproduction,28,125109.95510600001,4468.212682357143,148.320416,13328.0071,1001.9285714285714
Bear18,IV,Hyperphagia,22,86602.60685423997,3936.4821297381804,41.03798804,13594.25051,875.5909090909091
Bear18,III,Forest fruits,35,26495.25601214,757.0073146325714,54.11228794,1659.892841,1169.5714285714287
Bear18,I,Winter sleep,45,37440.482746579,832.0107277017555,7.655918199,6833.028113,855.4666666666667
