bear_id,sex,age,home_range_area,stage,Winter sleep,Den exit and reproduction,Forest fruits,Hyperphagia,largest_season,largest_season_area
Bear2,M,J,24.96481406,Subadult,29.88068662,22.97736583,24.04189373,54.49902844,Hyperphagia,54.49902844
Bear4,F,J,62.03112932,Subadult,2.98055872,6.54284003,425.6564824,69.52205941,Forest fruits,425.6564824
Bear5,M,A,11.33893763,Adult,56.9489192,49.78617662,16.7058381,23.88550215,Winter sleep,56.9489192
Bear6,M,A,124.8014431,Adult,344.9241181,54.94983892,109.8817461,854.0190528,Hyperphagia,854.0190528
Bear8,F,A,15.37984293,Adult,77.30412692,94.59414105,57.86572026,85.7149848,Den exit and reproduction,94.59414105
Bear10,M,A,31.98127289,Adult,27.25454751,115.1148063,188.4274229,113.3888931,Forest fruits,188.4274229
Bear12,M,A,469.5393603,Adult,252.7183468,211.7521009,1195.775218,2036.10997,Hyperphagia,2036.10997
Bear13,F,J,77.47201895,Subadult,0.0,0.0,0.0,0.0,Winter sleep,0.0
Bear14,M,J,511.7105688,Subadult,46.82092438,34.23564769,210.7761027,1222.286345,Hyperphagia,1222.286345
Bear15,M,A,233.9636156,Adult,177.1422098,14.35742909,201.8412457,79.06148431,Forest fruits,201.8412457
Bear16,F,A,296.8968847,Adult,0.0,0.0,0.0,0.0,Winter sleep,0.0
Bear17,M,A,40.56883911,Adult,0.0,0.0,0.0,0.0,Winter sleep,0.0
Bear18,M,J,320.2868615,Subadult,7.760138476,1561.415155,3.032568158,1047.058089,Den exit and reproduction,1561.415155
